,RegionID,RegionName,SizeRank,2014-03,2014-06,2014-09,2014-12,2015-03,2015-06,2015-09,2015-12
138,395051,"Salisbury, MD",138,52912.95,53727.54,54567.83,55303.71,54053.69353,54698.78559,55460.19026,56160.08367
139,394658,"Gulfport, MS",139,43650.2,43706.26,43977.63,44289.8,44591.24909,44496.34851,44696.80629,44975.62412
140,395146,"Tallahassee, FL",140,44001.75,44070.87,44304.68,44591.85,44950.37811,44867.54965,45029.20461,45282.35134
141,395164,"Trenton, NJ",141,73704.31,74541.22,75439.89,76158.59,76640.24932,76071.2122,76915.48687,77642.1989
142,394589,"Fayetteville, NC",142,42160.36,42022.43,42144.06,42399.91,43069.28982,42782.07952,42833.2515,43056.46932
143,394679,"Hickory, NC",143,39857.13,40741.41,41588.71,42240.79,40716.40478,41477.90221,42268.81973,42894.88536
144,394697,"Huntington, WV",144,40648.85,40727.62,40900.52,41043.13,41525.19337,41463.86293,41569.3756,41678.67969
145,394576,"Eugene, OR",145,43964.11,44539.11,45222.74,45782.05,45062.29759,45607.45921,46224.39216,46828.49686
146,395033,"Rockford, IL",146,48413.07,48209.63,48276.18,48644.75,49557.97368,48976.14295,49121.01315,49534.34643
147,395070,"Savannah, GA",147,50428.22,51227.02,52245.57,53330.61,51515.39556,52153.06309,53099.95381,54156.43037
148,394332,"Ann Arbor, MI",148,61480.39,62359.59,63338.1,64201.92,62934.31814,63351.08139,64446.51675,65376.01995
149,394927,"Ocala, FL",149,39213.34,39698.63,40228.94,40691.09,40058.73539,40416.27163,40886.8131,41321.18838
150,394732,"Kalamazoo, MI",150,45280.5,45547.92,45892.8,46162.88,46351.32264,46272.11287,46695.924,47007.08894
151,394901,"Naples, FL",151,56777.85,57592.47,58474.58,59259.11,58001.91642,58633.58285,59430.82824,60176.73273
152,395107,"South Bend, IN",152,45233.56,46191.55,47136.14,47883.27,46303.27257,46925.97632,47961.02245,48758.94077
153,395109,"Spartanburg, SC",153,42366.39,42861.73,43416.6,43999.29,43279.76159,43636.55174,44126.60164,44680.6156
154,394579,"Evansville, IN",154,45612.35,46133.01,46848.34,47593.98,46691.02044,46866.50556,47668.18595,48464.36035
155,394747,"Kingsport, TN",155,38838.28,39161.1,39385.31,39464.24,39675.58952,39869.02457,40029.38702,40075.3407
156,395028,"Roanoke, VA",156,49936.95,50950.67,51865.15,52522.55,51013.53433,51871.71744,52713.31271,53335.85762
157,394646,"Green Bay, WI",157,52290.26,52883.28,53524.45,54134.24,53526.85399,53724.10203,54461.12788,55124.2261
158,394796,"Lincoln, NE",158,51305.46,51698.14,52262.7,52917.32,52518.7648,52520.11879,53177.29725,53885.05154
159,394602,"Fort Collins, CO",159,56174.84,56429.54,56735.57,56960.05,57578.04167,57783.10217,57992.22331,58261.994
160,395179,"Utica, NY",160,46728.15,47296.16,48043.21,48875.48,48589.52029,48266.93504,48982.93049,49827.59974
161,394488,"Columbus, GA",161,42134.76,42391.18,42834.43,43315.2,43043.13791,43157.4955,43534.91128,43985.93252
162,394405,"Boulder, CO",162,70558.29,71193.69,71900.21,72507.81,72320.77851,72901.39638,73492.74952,74165.13137
163,394808,"Lubbock, TX",163,45287.58,45611.32,46053.26,46347.83,46263.92915,46435.84674,46806.37954,47065.52256
164,394572,"Erie, PA",164,44998.73,45340.14,45760.26,46140.88,46791.21053,46270.76685,46655.32621,47039.72831
165,394609,"Fort Smith, AR",165,38605.42,38944.47,39430.05,39848.09,39437.70932,39648.4785,40074.85867,40465.13459
166,394543,"Duluth, MN",166,49001.75,49759.11,50711.5,51628.73,50160.57517,50550.25903,51598.95125,52572.8963
167,394348,"Atlantic City, NJ",167,54194.5,54938.01,55729.61,56389.88,56353.28506,56065.63746,56819.67572,57488.38416
168,394924,"New London, CT",168,65045.44,65771.11,66591.78,67183.68,67636.46168,67121.09173,67894.3087,68492.45299
169,395061,"San Luis Obispo, CA",169,62008.88,62940.18,63958.36,64988.57,63557.81122,64449.91136,65374.99308,66474.02303
170,394622,"Gainesville, FL",170,43714.27,44872.39,45970.84,46860.17,44656.70036,45683.55892,46722.61171,47585.7961
171,395065,"Santa Cruz, CA",171,65417.98,65347.94,65351.32,65354.76,67052.06776,66915.42574,66798.80617,66848.58309
172,394471,"Clarksville, TN",172,44735.15,44964.16,45258.01,45562.85,45699.58939,45776.98787,45998.12464,46268.3872
173,394447,"Cedar Rapids, IA",173,60045.7,61190.76,62438.02,63787.63,61465.69966,62163.66748,63530.68535,64954.15357
174,394851,"Merced, CA",174,43414.81,43831.63,44305.19,44784.36,44499.27653,44883.00905,45286.51906,45808.00251
175,395229,"Wilmington, NC",175,47516.79,48095.31,48798.87,49464.87,48541.19841,48964.74042,49596.88913,50230.82968
176,394741,"Kennewick, WA",176,57452.28,57711.56,58208.83,58707.43,58887.39107,59095.87368,59498.115,60049.31411
177,394645,"Greeley, CO",177,60667.81,61590.22,62581.68,63492.3,62183.24239,63067.57019,63967.82057,64943.55257
178,395197,"Waco, TX",178,42353.61,42871.8,43506.01,44004.59,43266.70607,43646.80378,44217.47378,44685.99767
179,394811,"Lynchburg, VA",179,46640.65,47253.71,47905.69,48468.17,47646.16982,48107.92661,48689.10276,49218.69586
180,394937,"Olympia, WA",180,60607.43,61235.01,61989.35,62604.22,62121.35415,62703.83985,63362.37088,64035.1736
181,394323,"Amarillo, TX",181,50230.35,50872.38,51675.02,52341.84,51313.2597,51792.01218,52520.07348,53152.34934
182,394387,"Binghamton, NY",182,47684.45,47858.1,48296.11,48912.86,49583.91357,48840.40911,49240.77719,49865.70792
183,394660,"Hagerstown, MD",183,55679.98,56201.48,56830.42,57436.11,56880.37758,57217.44759,57759.78092,58325.50372
184,394412,"Bremerton, WA",184,61037.76,61503.74,62093.51,62541,62562.43344,62979.01581,63468.83795,63970.50857
185,394772,"Laredo, TX",185,38076.23,38205.91,38432.11,38533.75,38897.11058,38896.56737,39060.59913,39130.44214
186,395240,"Yakima, WA",186,44002.09,44404.28,44897.25,45288.38,45101.2263,45469.39507,45891.69278,46323.54297
187,753875,"Crestview-Fort Walton Beach-Destin, FL",187,52546.14,53273.93,54080.47,54815.13,53678.97552,54236.97557,54964.86035,55663.93804
188,395161,"Topeka, KS",188,53053.99,53940.01,54789.79,55770.34,54308.64517,54797.63359,55748.61133,56790.24647
189,394813,"Macon, GA",189,38110.36,37828.73,38022.71,38617.34,38931.97638,38512.569,38644.50411,39215.32652
190,394454,"Champaign-Urbana, IL",190,47715.38,47780.21,48087.34,48668.38,48843.78426,48539.89535,48928.86845,49558.40856
191,395171,"Tuscaloosa, AL",191,43177.56,43710.59,44478.95,45204.6,44108.4195,44500.75679,45206.32449,45904.58973
192,394483,"College Station, TX",192,41305.61,41737.96,42389.52,43028.24,42196.11237,42492.46708,43082.72556,43694.52896
