STCOU,POPESTIMATE2014,NPOPCHG2014,NATURALINC2014,INTERNATIONALMIG2014,DOMESTICMIG2014
12039,46281,90,32,102,-33
12041,16997,90,30,11,65
12045,15944,139,-27,2,151
12049,27469,59,218,116,-282
12051,38505,755,312,206,256
12053,175855,1650,-1126,216,2380
12055,98236,317,-561,223,596
12057,1316298,22153,6108,7373,8500
12061,144755,2734,-631,256,2501
12065,14050,-142,-7,1,-135
12069,315690,7575,-617,692,6735
12071,679513,18177,-52,2922,13517
12073,283988,1804,1174,716,-50
12081,351746,9329,-127,1117,7480
12083,339167,3008,-1298,615,3495
12085,153392,1914,-717,239,2122
12086,2662874,21008,10470,38734,-27175
12087,77136,600,55,429,163
12089,76619,991,-44,63,815
12091,196512,2606,1049,611,831
12093,39149,73,129,77,-101
12095,1253001,26237,8447,9763,8190
12097,310211,10713,2065,3368,4814
12099,1397710,21511,-36,8035,12277
12101,485331,9636,-923,897,8950
12103,938098,7989,-3392,2539,8542
12105,634638,11479,1053,2675,7436
12107,72143,-400,-105,63,-331
12109,217919,8375,344,146,7343
12111,291028,4721,-72,753,3542
12113,163422,2611,532,255,1693
12115,396962,6720,-2437,828,7115
12117,442516,5810,1240,1221,3154
12119,114350,5867,-960,73,5058
12127,507531,6330,-1697,955,6572
12129,31432,416,94,16,317
12131,61530,2127,190,51,1747
13007,3255,-66,3,1,-79
13009,45909,-230,51,45,-301
13013,73240,1815,535,78,1123
13015,101736,447,431,82,-70
13017,17464,-26,22,7,-58
13021,153905,-710,592,188,-1439
13025,18417,118,14,-5,121
13027,15418,-213,7,4,-217
13029,33906,773,333,47,362
13031,72087,779,287,134,344
13033,22709,-216,75,1,-294
13035,23368,146,36,2,110
13039,52027,510,533,94,-126
13045,114093,1705,491,137,1067
13047,65621,286,189,25,40
13051,283379,4951,1629,839,2450
13053,11837,-513,202,160,-890
13055,24939,-181,-9,19,-184
13057,230985,6116,1475,261,4032
13059,120938,-268,744,437,-1469
13063,267542,2699,2245,778,-282
13067,730981,12773,5385,2734,4720
13069,42811,-318,219,61,-614
13071,46102,-186,231,73,-467
13073,139257,2970,787,322,1806
13077,135571,2349,709,148,1412
13079,12387,-94,-20,0,-78
13081,22934,-298,18,8,-316
13083,16389,-113,6,5,-135
13085,22957,306,88,-8,202
13087,27220,-152,59,4,-232
13089,722161,7226,6433,4537,-3670
13095,92407,-723,440,82,-1216
13097,138776,2216,800,292,1120
13101,4003,6,34,1,-39
13103,55423,935,360,17,540
13113,109664,1309,52,210,976
13115,96063,38,93,116,-128
13117,204302,8990,1157,510,6932
13121,996319,11598,6078,4246,1469
13127,82175,642,178,118,265
13129,56047,217,226,92,-88
13135,877922,18966,7256,4056,7510
13137,43752,458,93,-1,348
13139,190761,3002,1127,290,1370
13141,8509,-389,-22,0,-369
13143,28641,159,21,7,147
13145,32876,203,5,3,192
13149,11603,42,17,0,30
13151,213869,3114,1193,283,1498
13153,149111,1192,903,306,-45
13157,61870,899,266,41,562
13159,13432,-111,32,2,-149
13167,9701,-75,-10,0,-66
13169,28787,18,4,7,18
13171,18207,261,-19,7,278
13173,10373,-25,35,15,-73
13175,47851,-76,119,15,-187
13177,29191,130,168,13,-67
13179,65198,1141,1154,311,-328
13181,7622,-97,-14,0,-78
13183,17113,472,127,47,277
13185,113523,721,741,187,-274
13189,21370,-51,37,-3,-74
13191,14214,34,27,0,18
13195,28312,196,64,18,126
13197,8797,76,10,44,27
13199,21198,-9,-21,2,25
13207,27051,46,-34,7,45
13209,8991,18,30,7,-25
13211,17956,204,13,0,188
13213,39410,112,98,33,-46
13215,200887,-3065,1448,485,-5026
13217,103675,1474,511,45,897
13219,35093,1043,125,25,841
13221,14673,161,18,7,115
13223,148987,1806,941,143,651
13225,26922,17,120,31,-121
13227,29997,488,-23,19,483
13229,18991,43,50,8,-1
13231,17784,-12,12,2,-15
13233,41133,-44,114,88,-244
13235,11483,-48,-31,0,-7
13245,201368,92,1130,425,-1456
13247,87754,939,381,135,412
13249,5163,91,21,0,68
13255,63988,247,77,74,73
13257,25480,-115,23,18,-143
13261,31232,-125,106,14,-256
13273,9132,-82,36,1,-118
13275,44959,111,146,12,-58
13277,40704,424,167,44,214
13279,27282,-20,95,21,-122
13285,69469,462,201,43,221
13289,8320,-142,-61,-1,-94
13293,26256,-266,-65,11,-195
13295,68218,-99,5,8,-58
13297,87615,1628,375,34,1125
13299,35515,-189,74,23,-279
13305,29949,-109,58,6,-166
13313,103542,455,616,79,-189
13321,20940,-124,25,-2,-137
15001,194190,2781,726,770,1221
15003,991788,4769,5874,6702,-7336
15005,89,0,0,0,0
15007,70475,796,250,408,167
15009,163019,2228,793,711,807
16001,426236,9680,2561,770,5881
16005,83347,25,632,87,-652
16011,45269,-139,452,-1,-577
16013,21482,160,136,42,-2
16015,6824,80,-13,7,88
16017,41585,882,35,12,773
16019,108623,1073,1186,55,-181
16023,2622,-6,14,-1,-30
16025,1039,0,7,0,-17
16027,203143,4103,1881,110,1922
16031,23540,198,223,4,-26
16039,26094,-62,267,89,-427
16041,13021,172,125,0,55
16043,12867,-45,98,1,-140
